	Gene	padj	FC	Tissue
101	MRPS21	2.9300000000000005e-200	-0.554174701	Exc_Neuron
102	BRK1	4.980000000000001e-200	-0.678096894	Exc_Neuron
103	RAB11A	5.2100000000000005e-200	-0.425203423	Exc_Neuron
104	PDE5A	1.06e-199	-0.731592972	Exc_Neuron
105	SLC25A6	3.5899999999999998e-199	-0.615428847	Exc_Neuron
106	CSTB	3.5899999999999998e-199	-0.780372011	Exc_Neuron
107	PPIA	5.309999999999999e-199	-0.48045558	Exc_Neuron
108	GNG3	6.28e-199	-0.578838191	Exc_Neuron
109	SNCG	2.32e-198	-1.292219249	Exc_Neuron
110	DYNLRB1	3.8200000000000004e-198	-0.554433547	Exc_Neuron
111	HOOK2	7.68e-198	-0.637530813	Exc_Neuron
112	CYCS	8.8e-198	-0.662620567	Exc_Neuron
113	TMEM160	1.34e-196	-0.592318788	Exc_Neuron
114	TPT1	8.02e-196	-0.526107846	Exc_Neuron
115	RPL6	3.4300000000000005e-195	-0.670899033	Exc_Neuron
116	RPS25	2.0400000000000002e-194	-0.459163801	Exc_Neuron
117	COX5A	2.9e-192	-0.991664551	Exc_Neuron
118	ATP5G2	5.4000000000000006e-192	-0.692474727	Exc_Neuron
119	BTF3	4.77e-191	-0.777405121	Exc_Neuron
120	PGAM1	2.58e-190	-0.473071281	Exc_Neuron
121	LDHB	2.6e-190	-0.66940988	Exc_Neuron
122	TUBA1B	9.819999999999999e-190	-0.487946308	Exc_Neuron
123	RPS27A	1.2099999999999999e-189	-0.644947121	Exc_Neuron
124	SERF2	2.53e-189	-0.546078926	Exc_Neuron
125	PRDX5	2.15e-187	-0.824154533	Exc_Neuron
126	EIF4A2	2.21e-187	-0.431819532	Exc_Neuron
127	OCIAD1	2.92e-187	-0.389888002	Exc_Neuron
128	CUTA	2.45e-186	-0.992869779	Exc_Neuron
129	STMN4	1.24e-185	-0.507668058	Exc_Neuron
130	CHGB	1.53e-185	-0.742487426	Exc_Neuron
131	ITM2B	8.8e-185	-0.485036048	Exc_Neuron
132	TCEAL5	2.07e-184	-0.961625914	Exc_Neuron
133	RPS7	2.9300000000000003e-184	-0.77440502	Exc_Neuron
134	SNRPD2	3.66e-184	-0.688362394	Exc_Neuron
135	ZNF428	4.18e-184	-0.725156151	Exc_Neuron
136	LAMTOR5	4.5e-184	-0.79843097	Exc_Neuron
137	CFL1	1.15e-183	-0.480666172	Exc_Neuron
138	PRDX1	1.55e-183	-0.764591693	Exc_Neuron
