	Gene	padj	FC	Tissue
101	CCK	5.2e-108	0.693891222	Exc_Neuron
102	TMA7	5.4899999999999995e-108	0.659956252	Exc_Neuron
103	NDUFB10	5.78e-108	0.944186218	Exc_Neuron
104	HSPB1	3.66e-107	0.918500761	Exc_Neuron
105	BTF3	4.0700000000000003e-107	0.877793666	Exc_Neuron
106	PCDH9	9.48e-107	-0.356360774	Exc_Neuron
107	NDUFB2	9.79e-107	1.028159611	Exc_Neuron
108	ATP5G3	1.51e-106	0.985874048	Exc_Neuron
109	PEBP1	2.0199999999999999e-106	0.547651155	Exc_Neuron
110	C4orf48	3.94e-106	1.097885617	Exc_Neuron
111	BEX4	9.12e-106	0.726793075	Exc_Neuron
112	RPL24	1.0100000000000001e-105	0.869835085	Exc_Neuron
113	PSMA7	1.02e-105	0.982442882	Exc_Neuron
114	RAN	8.15e-105	0.772790449	Exc_Neuron
115	RPS23	1.54e-104	0.766126216	Exc_Neuron
116	EID1	1.5599999999999998e-104	0.650710413	Exc_Neuron
117	RTN4	1.76e-103	0.463358207	Exc_Neuron
118	MRPL51	8.760000000000001e-103	1.090772811	Exc_Neuron
119	DCTN3	4.49e-102	0.995183624	Exc_Neuron
120	RRAGA	1.48e-101	0.751374648	Exc_Neuron
121	RPL3	2.49e-101	0.946387167	Exc_Neuron
122	MDH1	7.18e-101	0.658276842	Exc_Neuron
123	MIEN1	7.39e-101	0.987911956	Exc_Neuron
124	PPIA	7.72e-101	0.533661747	Exc_Neuron
125	OPCML	8.18e-101	-0.35952695	Exc_Neuron
126	SLC25A4	2.56e-100	0.804883362	Exc_Neuron
127	ERH	2.56e-100	0.804193251	Exc_Neuron
128	ISCU	7.63e-100	0.715280965	Exc_Neuron
129	RPS14	1.44e-99	0.692144936	Exc_Neuron
130	NACA2	4.09e-99	0.988753267	Exc_Neuron
131	POMP	8.24e-99	0.834103187	Exc_Neuron
132	RPL11	9.07e-99	0.66542676	Exc_Neuron
133	ATP6V1G1	9.07e-99	0.677637036	Exc_Neuron
134	RPS13	1.36e-98	0.978791509	Exc_Neuron
135	TUBB4B	1.86e-98	0.688737923	Exc_Neuron
136	HSPA8	1.96e-98	0.930368953	Exc_Neuron
137	KCNIP4	2.09e-98	-0.293483142	Exc_Neuron
138	TCEAL8	2.34e-98	1.025026091	Exc_Neuron
139	ANAPC11	2.38e-98	1.054677394	Exc_Neuron
140	TTC9B	3.25e-98	0.757370465	Exc_Neuron
141	RPS20	5.06e-98	0.563620798	Exc_Neuron
142	UQCRHL	5.7e-98	0.970877901	Exc_Neuron
143	RPL27	9.74e-98	0.814054564	Exc_Neuron
144	RPS8	2.6e-97	0.711519638	Exc_Neuron
145	H2AFZ	5.71e-97	0.737740443	Exc_Neuron
146	CHORDC1	4.06e-96	0.984377502	Exc_Neuron
147	ATP5D	7.76e-96	0.715559943	Exc_Neuron
148	ARL6IP5	1.2099999999999999e-95	0.646808261	Exc_Neuron
149	C19orf53	1.3599999999999999e-95	0.825265227	Exc_Neuron
150	EIF1B	1.4e-95	0.705125128	Exc_Neuron
151	ATP6V0B	2.97e-95	0.684493754	Exc_Neuron
152	PNMAL1	3.4499999999999995e-95	0.612435226	Exc_Neuron
153	GNB2L1	1.02e-93	0.771673584	Exc_Neuron
154	SCG5	1.2e-93	0.564563434	Exc_Neuron
155	UQCRH	1.27e-93	0.66669646	Exc_Neuron
156	ATP6V1D	1.63e-93	0.645445625	Exc_Neuron
157	TCEAL2	2.26e-93	0.642935617	Exc_Neuron
158	SUB1	1.58e-92	0.631914336	Exc_Neuron
159	CFL1	1.75e-92	0.591044546	Exc_Neuron
160	TUBA4A	1.84e-92	0.687967134	Exc_Neuron
161	CYCS	1.92e-92	0.635975898	Exc_Neuron
162	ITM2C	1.92e-92	0.682078666	Exc_Neuron
163	CSTB	2.52e-92	0.73791069	Exc_Neuron
164	PRDX1	2.8799999999999998e-92	0.772725067	Exc_Neuron
165	TXN	2.97e-92	0.84228698	Exc_Neuron
166	ATP5G2	3.08e-92	0.787435338	Exc_Neuron
167	CACYBP	3.33e-92	0.714795101	Exc_Neuron
168	NOP10	5.16e-92	1.18865814	Exc_Neuron
169	RPRML	1.61e-91	0.75929394	Exc_Neuron
170	POLR2J	1.73e-91	1.032247577	Exc_Neuron
171	RPL8	2.29e-91	0.738072223	Exc_Neuron
172	RPL23	2.78e-91	0.731526985	Exc_Neuron
173	CHCHD2	5.67e-91	0.700739106	Exc_Neuron
174	MYL12B	6.65e-91	0.820739184	Exc_Neuron
175	ATP5L	7.16e-91	0.630893438	Exc_Neuron
176	LAGE3	1.11e-90	1.008303408	Exc_Neuron
177	RPS9	8.68e-90	0.742307594	Exc_Neuron
178	SPCS1	1.0099999999999999e-89	0.700343935	Exc_Neuron
179	RPL38	1.79e-89	0.678196242	Exc_Neuron
180	FAM179A	8.479999999999999e-89	1.479342886	Exc_Neuron
181	CD63	1.25e-88	1.028471939	Exc_Neuron
182	REEP5	1.73e-88	0.550139679	Exc_Neuron
183	AURKAIP1	3.8600000000000003e-88	0.833745851	Exc_Neuron
184	TMEM147	3.96e-88	0.790077942	Exc_Neuron
185	NDUFA8	4.9400000000000004e-88	0.709172338	Exc_Neuron
186	NDUFA6	6.79e-88	0.954445529	Exc_Neuron
187	SLC25A6	1.18e-87	0.649783729	Exc_Neuron
188	POP7	2.05e-87	0.996477516	Exc_Neuron
189	GNAS	3.45e-87	0.431884302	Exc_Neuron
190	ZNF428	3.45e-87	0.752315812	Exc_Neuron
191	STMN2	6.48e-87	0.646411648	Exc_Neuron
192	LAMTOR5	6.8e-87	0.778180196	Exc_Neuron
193	RPL13	7.23e-87	0.581657754	Exc_Neuron
194	SSB	1.21e-86	0.763103176	Exc_Neuron
195	NDUFA1	1.22e-86	0.950210886	Exc_Neuron
196	GNG3	1.31e-86	0.637740062	Exc_Neuron
197	DDT	1.38e-86	1.017003073	Exc_Neuron
198	TUBB4A	2.0500000000000003e-86	0.549599023	Exc_Neuron
199	STMN4	3.99e-86	0.559527708	Exc_Neuron
200	GPX4	6.85e-86	0.689278441	Exc_Neuron
201	CRYAB	8.26e-86	0.823724264	Exc_Neuron
202	BRK1	1.12e-85	0.677351052	Exc_Neuron
203	VDAC1	1.15e-85	0.614542529	Exc_Neuron
204	PCBD1	1.15e-85	1.061474223	Exc_Neuron
205	SNU13	1.17e-85	0.673696452	Exc_Neuron
206	ARF5	1.66e-85	0.833626811	Exc_Neuron
207	NRG3	1.66e-85	-0.303771468	Exc_Neuron
208	MRPL20	3.01e-85	0.693964714	Exc_Neuron
209	APOO	6.73e-85	0.593987653	Exc_Neuron
210	RPS11	7.05e-85	0.67858612	Exc_Neuron
211	FTL	7.76e-85	0.56315482	Exc_Neuron
212	SNCB	1.4899999999999999e-84	0.546279446	Exc_Neuron
213	ATP5EP2	1.81e-84	1.027547285	Exc_Neuron
214	RAC1	1.83e-84	0.579144159	Exc_Neuron
215	COPE	2.3e-84	0.976908778	Exc_Neuron
216	ACTB	4.35e-84	0.453599718	Exc_Neuron
217	PRELID1	4.56e-84	0.630451623	Exc_Neuron
218	PTPRD	1.7e-83	-0.330415659	Exc_Neuron
219	PSMB6	2.3199999999999998e-83	1.093555085	Exc_Neuron
220	NNAT	3.58e-83	0.784170152	Exc_Neuron
221	RBP4	6.83e-83	1.027766499	Exc_Neuron
222	CPE	8.19e-83	0.515225788	Exc_Neuron
223	C12orf57	1.16e-82	0.964611555	Exc_Neuron
224	MT3	1.89e-82	0.617313767	Exc_Neuron
225	TCEAL7	2.3299999999999998e-82	0.735566299	Exc_Neuron
226	PINK1	5.2299999999999995e-82	0.638348605	Exc_Neuron
227	CHCHD10	1.11e-81	0.662835503	Exc_Neuron
228	LDHA	1.24e-81	0.698907694	Exc_Neuron
229	EIF5	1.5e-81	0.568981437	Exc_Neuron
230	RPL34	1.63e-81	0.542528987	Exc_Neuron
231	CCT7	1.7e-81	0.901481803	Exc_Neuron
232	PDE5A	1.7699999999999998e-81	0.558832904	Exc_Neuron
233	DNAJB11	4.05e-81	0.735943916	Exc_Neuron
234	YWHAG	4.16e-81	0.43580691	Exc_Neuron
235	TCEAL4	1.04e-80	0.690005795	Exc_Neuron
236	ATP6AP2	1.1500000000000001e-80	0.552773915	Exc_Neuron
237	GPX1	1.27e-80	0.699124543	Exc_Neuron
238	MGST3	2.1e-80	0.657242881	Exc_Neuron
239	RNF7	2.48e-80	0.875638534	Exc_Neuron
240	RPLP1	3.21e-80	0.53756172	Exc_Neuron
241	MYL6	3.95e-80	0.765729727	Exc_Neuron
242	TUBB	4.08e-80	0.604365024	Exc_Neuron
243	NDUFB9	4.7600000000000004e-80	0.81730436	Exc_Neuron
244	SNX3	7.32e-80	0.552131164	Exc_Neuron
245	POLR2K	1.4700000000000002e-79	0.725728353	Exc_Neuron
246	RPL7A	2.2800000000000002e-79	0.751505052	Exc_Neuron
247	RPL37A	4.3100000000000003e-79	0.588245135	Exc_Neuron
248	C14orf166	7.700000000000001e-79	0.726155696	Exc_Neuron
249	C9orf16	8.64e-79	0.533947064	Exc_Neuron
250	PFDN5	1.32e-78	0.610839845	Exc_Neuron
251	NDUFS3	3.31e-78	0.719934991	Exc_Neuron
252	UBL5	5.9e-78	0.929426533	Exc_Neuron
253	PGAM1	1.01e-77	0.50984506	Exc_Neuron
254	TRMT112	1.16e-77	0.647962424	Exc_Neuron
255	LSM3	1.2600000000000001e-77	0.785523048	Exc_Neuron
256	SELM	1.7100000000000001e-77	0.83118679	Exc_Neuron
257	LDHB	2.36e-77	0.575485793	Exc_Neuron
258	CCT5	2.58e-77	0.92820112	Exc_Neuron
259	SEC61B	3.69e-77	0.945831879	Exc_Neuron
260	CCT3	4.72e-77	0.69255735	Exc_Neuron
261	PSMD8	1.07e-76	0.826692477	Exc_Neuron
262	MTRNR2L8	1.54e-76	-1.865326879	Exc_Neuron
263	TCEAL5	2.25e-76	0.778929993	Exc_Neuron
264	UFC1	3.81e-76	0.929676863	Exc_Neuron
265	TXNRD1	5.11e-76	0.517118769	Exc_Neuron
266	NEFL	7.61e-76	0.437568127	Exc_Neuron
267	POLR2L	8.36e-76	0.845626061	Exc_Neuron
268	TENM2	1.69e-75	-0.402253371	Exc_Neuron
269	RPL27A	2.25e-75	0.526077952	Exc_Neuron
270	DNAJA1	2.38e-75	0.690688707	Exc_Neuron
271	LRPAP1	2.5e-75	0.580104776	Exc_Neuron
272	SSU72	3.39e-75	0.41800878	Exc_Neuron
273	MTRNR2L12	5.9e-75	-1.093438106	Exc_Neuron
274	RPL41	7.97e-75	0.836234735	Exc_Neuron
275	UCHL1	8.15e-75	0.435524078	Exc_Neuron
276	TCP1	9.53e-75	0.774233744	Exc_Neuron
277	NDUFA2	2.53e-74	0.79450487	Exc_Neuron
278	PFDN2	2.5699999999999998e-74	0.419170134	Exc_Neuron
279	NCBP2-AS2	3.44e-74	1.278853416	Exc_Neuron
280	BAIAP2L1	5.15e-74	0.860322366	Exc_Neuron
281	TAGLN3	5.32e-74	0.531065282	Exc_Neuron
282	TM2D3	6.519999999999999e-74	0.651548679	Exc_Neuron
283	FIS1	7.69e-74	0.697644393	Exc_Neuron
284	MESP1	8.02e-74	1.145242674	Exc_Neuron
285	MOAP1	1.17e-73	0.565150362	Exc_Neuron
286	H3F3B	1.2500000000000001e-73	0.510108058	Exc_Neuron
287	HOPX	1.2900000000000002e-73	0.507764903	Exc_Neuron
288	SUMO1	2e-73	0.613566084	Exc_Neuron
289	VDAC3	2e-73	0.524936614	Exc_Neuron
290	SRSF7	2.7500000000000003e-73	0.456111198	Exc_Neuron
291	NDUFS8	3.13e-73	0.739789068	Exc_Neuron
292	TMEM160	5.43e-73	0.469716279	Exc_Neuron
293	ZNF365	7.54e-73	0.553520822	Exc_Neuron
294	TCEB1	8.210000000000001e-73	0.604966068	Exc_Neuron
295	AP2S1	1.74e-72	0.521633378	Exc_Neuron
296	RPL35	1.77e-72	0.545596228	Exc_Neuron
297	BEX5	1.81e-72	0.587829498	Exc_Neuron
298	C1QTNF4	3.26e-72	0.553426464	Exc_Neuron
299	AHSA1	3.26e-72	0.77254401	Exc_Neuron
300	MRPS21	3.41e-72	0.466507529	Exc_Neuron
301	FAM96B	3.9400000000000003e-72	0.647354651	Exc_Neuron
302	SCAND1	3.9800000000000003e-72	0.748614537	Exc_Neuron
303	NDUFB6	4.94e-72	0.585244792	Exc_Neuron
304	SCOC	8.44e-72	0.516128002	Exc_Neuron
305	NUDT14	1.54e-71	1.06098349	Exc_Neuron
306	CSMD1	1.71e-71	-0.222740989	Exc_Neuron
307	APLP1	1.75e-71	0.393145868	Exc_Neuron
308	GAP43	2.9e-71	0.561923901	Exc_Neuron
309	SCG3	3.11e-71	0.508824313	Exc_Neuron
310	HERPUD1	3.25e-71	0.566346618	Exc_Neuron
311	CISD1	3.35e-71	0.467120217	Exc_Neuron
312	COPS6	3.77e-71	0.520401359	Exc_Neuron
313	FKBP4	6.41e-71	0.749922953	Exc_Neuron
314	PSMB3	6.99e-71	0.965870424	Exc_Neuron
315	TCEAL3	1.08e-70	0.60931252	Exc_Neuron
316	RPS5	1.27e-70	0.589890062	Exc_Neuron
317	HSPA4	1.3e-70	0.603421306	Exc_Neuron
318	HN1	1.59e-70	0.660362729	Exc_Neuron
319	RPLP0	1.7e-70	0.571303871	Exc_Neuron
320	ATP1B1	2.43e-70	0.354901298	Exc_Neuron
321	SMDT1	3.4e-70	0.766053452	Exc_Neuron
322	ISOC2	9.13e-70	0.924592417	Exc_Neuron
323	GHITM	1.1499999999999999e-69	0.50814404	Exc_Neuron
324	NDUFAF3	1.2999999999999998e-69	0.77596568	Exc_Neuron
325	ATP5H	1.38e-69	0.895867264	Exc_Neuron
326	UQCR11	1.39e-69	1.790252906	Exc_Neuron
327	CHGB	1.4399999999999998e-69	0.740304333	Exc_Neuron
328	EMC6	1.58e-69	1.143859185	Exc_Neuron
329	C19orf43	3.5699999999999996e-69	0.519581883	Exc_Neuron
330	RPL13A	3.5999999999999997e-69	0.453617917	Exc_Neuron
331	FAM200B	3.83e-69	0.452638437	Exc_Neuron
332	LSM10	4.68e-69	0.845713174	Exc_Neuron
333	GPR22	8.26e-69	0.431732009	Exc_Neuron
334	GRINA	1.37e-68	0.41418987	Exc_Neuron
335	DRAP1	1.6e-68	0.934219339	Exc_Neuron
336	TPI1	1.96e-68	0.532777407	Exc_Neuron
337	PITHD1	4.13e-68	0.551323167	Exc_Neuron
338	MRPL34	4.7e-68	0.663491556	Exc_Neuron
339	DNAJB1	4.75e-68	0.732981621	Exc_Neuron
340	ATP6V1C1	4.95e-68	0.50935543	Exc_Neuron
341	FBXO2	7.72e-68	0.538603854	Exc_Neuron
342	ZNF706	8.169999999999999e-68	0.406380612	Exc_Neuron
343	CD59	1.0499999999999999e-67	0.628038916	Exc_Neuron
344	CYC1	1.77e-67	0.748858387	Exc_Neuron
345	ASNA1	2.07e-67	0.677113365	Exc_Neuron
346	RPL30	2.99e-67	0.575581402	Exc_Neuron
347	COA3	3.1199999999999996e-67	0.774637553	Exc_Neuron
348	RPS3	3.23e-67	0.496279116	Exc_Neuron
349	ATP6V1B2	3.56e-67	0.449796159	Exc_Neuron
350	GSTO1	3.6099999999999997e-67	0.829310499	Exc_Neuron
351	C3orf14	5.4999999999999996e-67	0.416243523	Exc_Neuron
352	EIF4A2	5.77e-67	0.408483993	Exc_Neuron
353	EDF1	5.8399999999999994e-67	0.412336321	Exc_Neuron
354	C6orf1	6.13e-67	0.637103006	Exc_Neuron
355	ACTG1	9.619999999999999e-67	0.537668866	Exc_Neuron
356	NDUFAB1	1.89e-66	0.87147754	Exc_Neuron
357	WBP5	2.18e-66	0.86330806	Exc_Neuron
358	PSMB1	2.62e-66	0.608178109	Exc_Neuron
359	TRMT10C	4.1600000000000003e-66	0.671331579	Exc_Neuron
360	ARF1	7.830000000000001e-66	0.424090577	Exc_Neuron
361	RPL36	1.25e-65	0.538576542	Exc_Neuron
362	MPC2	1.53e-65	0.652362727	Exc_Neuron
363	SLIRP	1.61e-65	0.698883701	Exc_Neuron
364	PFN1	2.69e-65	0.697030643	Exc_Neuron
365	AASDHPPT	3.1800000000000002e-65	0.489576031	Exc_Neuron
366	CCT2	8.72e-65	0.656007447	Exc_Neuron
367	MZT2B	1.12e-64	0.505443993	Exc_Neuron
368	MDH2	1.4800000000000002e-64	0.561424401	Exc_Neuron
369	RPL10A	1.63e-64	0.718679913	Exc_Neuron
370	MAP1B	2.7400000000000003e-64	0.303256166	Exc_Neuron
371	HSPA5	4.1500000000000005e-64	0.612553478	Exc_Neuron
372	PHB	8.62e-64	0.849315602	Exc_Neuron
373	SERP2	9.64e-64	0.505673523	Exc_Neuron
374	RPS18	1.32e-63	0.615638819	Exc_Neuron
375	PSMB5	1.32e-63	0.505200483	Exc_Neuron
376	SSTR2	1.6700000000000001e-63	0.527192368	Exc_Neuron
377	ESD	2.54e-63	0.490980071	Exc_Neuron
378	FAM134A	3.57e-63	0.47420806	Exc_Neuron
379	RPS19BP1	3.8e-63	0.876504949	Exc_Neuron
380	RHEB	3.99e-63	0.482697524	Exc_Neuron
381	VDAC2	3.99e-63	0.680544577	Exc_Neuron
382	MRFAP1	4.65e-63	0.466117949	Exc_Neuron
383	UQCRFS1	5.33e-63	0.632868084	Exc_Neuron
384	B4GAT1	6.57e-63	0.400505979	Exc_Neuron
385	SEC62	6.58e-63	0.453354333	Exc_Neuron
386	DUSP26	7.76e-63	0.622230185	Exc_Neuron
387	PEG10	9.32e-63	0.643271213	Exc_Neuron
388	LY6E	1.01e-62	0.388985662	Exc_Neuron
389	RPL18A	1.07e-62	0.684405931	Exc_Neuron
390	YWHAB	1.21e-62	0.407999214	Exc_Neuron
391	PNCK	1.3e-62	0.442039147	Exc_Neuron
392	MRPS6	1.5399999999999999e-62	0.719569102	Exc_Neuron
393	EMC4	1.84e-62	0.805962121	Exc_Neuron
394	SERINC1	1.85e-62	0.383296361	Exc_Neuron
395	TCEAL6	1.97e-62	0.765499072	Exc_Neuron
396	NDUFB3	1.98e-62	0.716054939	Exc_Neuron
397	LIN7B	2.35e-62	0.824748875	Exc_Neuron
398	SELK	2.96e-62	0.675477879	Exc_Neuron
399	DSTN	3.21e-62	0.430176838	Exc_Neuron
400	SERPINF1	3.44e-62	0.857720241	Exc_Neuron
401	C17orf89	3.51e-62	0.907892291	Exc_Neuron
402	TSPAN13	3.77e-62	0.45526729	Exc_Neuron
403	TMEM258	3.8e-62	1.115409747	Exc_Neuron
404	TKT	4.32e-62	0.81142062	Exc_Neuron
405	SARAF	9.61e-62	0.435206854	Exc_Neuron
406	SKP1	1.64e-61	0.432716031	Exc_Neuron
407	PTMA	1.7999999999999997e-61	0.399397037	Exc_Neuron
408	ZNHIT1	1.9899999999999998e-61	0.780042977	Exc_Neuron
409	SLC26A3	2.03e-61	-0.157689588	Exc_Neuron
410	UBE2QL1	2.9799999999999998e-61	0.500180187	Exc_Neuron
411	HMP19	5.55e-61	0.431074315	Exc_Neuron
412	PGRMC1	5.73e-61	0.423624147	Exc_Neuron
413	GGACT	5.97e-61	0.952169118	Exc_Neuron
414	OOEP	6.03e-61	0.549100417	Exc_Neuron
415	FLOT1	7.83e-61	0.421376458	Exc_Neuron
416	TGOLN2	8.25e-61	0.470449916	Exc_Neuron
417	DUSP3	9.55e-61	0.520528384	Exc_Neuron
418	CCT4	1.1999999999999999e-60	0.590830618	Exc_Neuron
419	PYURF	1.32e-60	0.848614003	Exc_Neuron
420	CNTNAP2	1.44e-60	-0.300248118	Exc_Neuron
421	PTGR1	2.13e-60	0.504115171	Exc_Neuron
422	FKBP2	2.19e-60	0.478613388	Exc_Neuron
423	RPS27L	2.32e-60	0.578547931	Exc_Neuron
424	PPM1K	2.87e-60	0.444522325	Exc_Neuron
425	JUN	4.85e-60	0.547360866	Exc_Neuron
426	MAP1LC3A	5.06e-60	0.396743641	Exc_Neuron
427	C19orf70	5.77e-60	0.642127566	Exc_Neuron
428	PRR7	5.78e-60	0.669865153	Exc_Neuron
429	CETN2	6.43e-60	0.4927868	Exc_Neuron
430	EIF4H	6.71e-60	0.434796116	Exc_Neuron
431	EIF3I	7.48e-60	0.736061786	Exc_Neuron
432	NOL7	9.12e-60	0.722524285	Exc_Neuron
433	RPL18	1.14e-59	0.446385035	Exc_Neuron
434	NEFM	1.3e-59	0.562868641	Exc_Neuron
435	ERP29	1.33e-59	0.823398732	Exc_Neuron
436	MRPL32	1.36e-59	0.704363577	Exc_Neuron
437	HPCA	1.94e-59	0.460870013	Exc_Neuron
438	MRPL57	2.1400000000000003e-59	0.749609008	Exc_Neuron
439	RPS2	2.63e-59	0.438786635	Exc_Neuron
440	NDUFAF4	2.8000000000000002e-59	0.605930063	Exc_Neuron
441	CLU	3.09e-59	0.477054966	Exc_Neuron
442	ZFAND5	3.5800000000000003e-59	0.402589845	Exc_Neuron
443	TMEM70	4.24e-59	0.666862862	Exc_Neuron
444	NAP1L5	4.86e-59	0.644465223	Exc_Neuron
445	APP	5.29e-59	0.30950058	Exc_Neuron
446	OST4	5.32e-59	0.615235174	Exc_Neuron
447	NLRP1	1.03e-58	0.312922947	Exc_Neuron
448	ENC1	1.1500000000000001e-58	0.38804584	Exc_Neuron
449	C15orf61	1.5e-58	0.692363833	Exc_Neuron
450	SRP9	1.72e-58	0.512998308	Exc_Neuron
451	PGM2L1	2.02e-58	0.396546617	Exc_Neuron
